Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall
DIMAPUR,General,7.65,9.99,8.88,15.19,13.72,14.42,18.76,21.56,20.2
DIMAPUR,OBC,24.78,19.61,22.1,0.0,0.0,0.0,18.44,17.42,17.93
DIMAPUR,SC,25.67,25.34,25.5,25.63,30.28,27.92,30.72,30.8,30.75
DIMAPUR,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.73,3.46,2.05
DIMAPUR,Overall,2.44,3.6,3.03,2.48,3.28,2.88,5.81,8.51,7.14
KIPHIRE,General,82.35,62.75,70.59,73.33,51.43,61.54,91.67,84.62,88.0
KIPHIRE,OBC,65.0,61.54,63.04,25.0,31.25,29.17,0.0,66.67,78.95
KIPHIRE,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIPHIRE,ST,6.73,4.46,5.58,0.0,3.35,0.3,37.81,42.65,40.0
KIPHIRE,Overall,7.23,5.21,6.2,0.0,4.49,1.47,38.79,43.8,41.08
KOHIMA,General,0.0,0.0,0.0,0.0,0.0,0.0,4.38,10.74,7.5
KOHIMA,OBC,28.43,21.98,25.12,2.38,10.96,6.98,28.57,30.85,29.69
KOHIMA,SC,0.0,0.0,0.0,0.0,0.0,0.0,10.47,0.0,0.0
KOHIMA,ST,0.0,0.55,0.0,0.0,3.81,1.88,0.0,1.03,0.0
KOHIMA,Overall,0.0,0.25,0.0,0.0,2.71,1.15,0.0,1.77,0.48
LONGLENG,General,0.0,0.0,0.0,0.0,83.33,92.16,0.0,0.0,0.0
LONGLENG,OBC,54.55,85.19,76.32,50.0,25.0,33.33,66.67,0.0,75.0
LONGLENG,SC,96.87,89.13,92.31,94.12,93.75,93.94,0.0,0.0,0.0
LONGLENG,ST,10.94,13.03,12.0,2.21,4.74,3.5,31.36,34.2,32.68
LONGLENG,Overall,12.22,15.17,13.73,6.01,7.67,6.85,34.38,37.45,35.8
MOKOKCHUNG,General,0.0,0.0,0.0,0.0,0.0,0.0,23.33,45.9,38.46
MOKOKCHUNG,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.39,19.51
MOKOKCHUNG,SC,0.0,0.0,0.0,0.0,0.0,0.0,37.5,50.0,43.75
MOKOKCHUNG,ST,6.82,7.5,7.18,4.03,4.17,4.1,13.26,16.03,14.63
MOKOKCHUNG,Overall,4.26,5.59,4.96,2.55,2.64,2.6,13.09,17.63,15.36
MON,General,15.43,0.0,4.11,12.17,18.42,15.28,68.25,61.97,64.93
MON,OBC,20.0,0.0,7.05,0.0,14.29,0.0,50.0,30.77,40.0
MON,SC,61.81,52.41,57.25,43.75,59.09,50.68,33.33,0.0,10.71
MON,ST,6.66,10.2,8.44,6.12,8.23,7.13,24.38,28.36,26.28
MON,Overall,7.74,10.5,9.12,6.54,9.11,7.77,25.62,29.09,27.28
PEREN,General,58.09,46.99,51.98,40.28,3.23,19.39,46.66,9.57,18.54
PEREN,OBC,0.0,4.82,0.0,0.0,0.0,0.0,72.22,42.86,59.37
PEREN,SC,58.57,45.28,52.85,51.72,12.96,26.51,78.57,3.45,27.91
PEREN,ST,4.26,0.66,2.43,2.88,0.0,1.0,26.07,28.12,27.1
PEREN,Overall,6.27,2.98,4.6,4.51,0.0,1.7,27.74,26.49,27.1
PHEK,General,0.0,0.0,0.0,0.0,6.25,0.0,33.33,16.67,22.22
PHEK,OBC,45.45,29.41,35.71,0.0,50.0,0.0,60.0,80.0,70.0
PHEK,SC,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0
PHEK,ST,2.1,4.04,3.11,3.46,4.3,3.88,21.85,26.53,24.06
PHEK,Overall,1.91,3.62,2.8,3.15,4.18,3.67,21.96,26.59,24.15
TUENSANG,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUENSANG,OBC,11.11,40.62,30.0,0.0,52.94,31.03,88.89,75.0,82.35
TUENSANG,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUENSANG,ST,5.63,8.58,7.16,6.51,8.1,7.28,37.59,39.7,38.6
TUENSANG,Overall,4.08,7.15,5.66,3.25,4.19,3.72,35.54,38.56,37.01
WOKHA,General,32.88,21.88,26.63,46.51,58.14,52.33,78.26,81.4,80.3
WOKHA,OBC,36.07,42.67,39.7,12.0,40.0,24.44,16.67,0.0,54.55
WOKHA,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,66.67
WOKHA,ST,2.19,2.07,2.13,4.77,5.32,5.04,30.84,34.92,32.83
WOKHA,Overall,3.16,3.03,3.09,5.11,5.96,5.53,31.86,36.68,34.24
ZUNHEBOTO,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZUNHEBOTO,OBC,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,33.33
ZUNHEBOTO,SC,49.12,33.98,41.94,47.13,69.0,58.82,75.0,50.0,65.57
ZUNHEBOTO,ST,15.75,14.35,15.04,11.87,14.09,12.97,27.09,32.38,29.56
ZUNHEBOTO,Overall,16.2,14.14,15.16,12.53,15.52,14.01,29.55,32.89,31.09
