,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,12501,General,2,1,2.0,1,1,1.0,1,1,1.0,,,
1,12502,General,0,0,0.0,0,2,0.0,2,0,0.0,,,
2,12503,General,0,0,0.0,0,0,0.0,0,0,0.0,,,
3,12504,General,1,2,1.0,2,0,2.0,0,2,2.0,,,
0,12501,OBC,0,0,0.0,0,0,0.0,0,1,2.0,,,
1,12502,OBC,0,0,0.0,2,0,2.0,0,2,0.0,,,
2,12503,OBC,2,2,2.0,0,2,0.0,1,0,1.0,,,
3,12504,OBC,1,1,1.0,1,1,1.0,2,0,0.0,,,
0,12501,Overall,0,0,,0,0,,1,2,,0.0,0.0,2.0
1,12502,Overall,0,2,,1,2,,2,1,,2.0,2.0,1.0
2,12503,Overall,2,0,,0,0,,0,0,,0.0,0.0,0.0
3,12504,Overall,1,1,,2,1,,0,0,,1.0,1.0,0.0
0,12501,SC,2,2,2.0,2,0,2.0,2,2,1.0,,,
1,12502,SC,1,1,1.0,1,1,1.0,1,0,0.0,,,
2,12503,SC,0,0,0.0,0,0,0.0,0,0,0.0,,,
3,12504,SC,0,0,0.0,0,2,0.0,0,1,2.0,,,
0,12501,ST,2,0,2.0,0,2,1.0,1,0,1.0,,,
1,12502,ST,1,0,1.0,0,0,0.0,0,0,2.0,,,
2,12503,ST,0,2,0.0,2,1,2.0,0,2,0.0,,,
3,12504,ST,0,1,0.0,1,0,0.0,2,1,0.0,,,
