,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,11301,General,2,2,2.0,1,1,2.0,1,0,2.0,,,
1,11302,General,2,2,2.0,1,1,2.0,1,0,2.0,,,
2,11303,General,0,0,0.0,1,1,2.0,1,0,2.0,,,
3,11304,General,2,2,2.0,1,1,2.0,1,0,2.0,,,
4,11305,General,0,0,0.0,1,1,2.0,1,0,2.0,,,
5,11306,General,2,2,2.0,0,0,0.0,0,1,1.0,,,
6,11307,General,2,2,2.0,1,1,2.0,1,0,0.0,,,
7,11308,General,0,2,2.0,1,1,2.0,0,1,1.0,,,
8,11309,General,2,2,2.0,1,1,2.0,1,0,0.0,,,
9,11310,General,0,0,0.0,1,0,2.0,0,1,1.0,,,
10,11311,General,2,1,1.0,1,1,2.0,1,0,0.0,,,
11,11312,General,0,0,0.0,0,1,0.0,2,0,0.0,,,
12,11313,General,0,0,0.0,1,1,2.0,2,0,0.0,,,
13,11314,General,0,0,0.0,0,0,0.0,0,1,1.0,,,
14,11315,General,1,1,1.0,0,0,0.0,2,2,0.0,,,
15,11316,General,1,1,1.0,2,2,1.0,2,2,0.0,,,
16,11317,General,0,1,1.0,2,2,1.0,2,2,0.0,,,
17,11318,General,1,1,1.0,2,2,1.0,2,2,0.0,,,
18,11319,General,1,1,1.0,2,0,1.0,2,2,0.0,,,
19,11320,General,1,1,1.0,2,2,1.0,2,2,0.0,,,
20,11321,General,1,1,1.0,2,2,1.0,2,2,0.0,,,
21,11322,General,0,0,0.0,2,0,1.0,0,1,1.0,,,
22,11323,General,1,1,1.0,2,2,1.0,2,2,0.0,,,
23,11324,General,0,0,0.0,0,2,1.0,0,2,0.0,,,
0,11301,OBC,0,1,2.0,0,0,0.0,2,2,1.0,,,
1,11302,OBC,0,1,2.0,0,0,0.0,2,2,1.0,,,
2,11303,OBC,0,1,2.0,0,0,0.0,2,2,1.0,,,
3,11304,OBC,0,1,2.0,0,0,0.0,2,2,1.0,,,
4,11305,OBC,0,1,2.0,0,0,0.0,2,2,1.0,,,
5,11306,OBC,0,1,2.0,0,0,0.0,2,2,1.0,,,
6,11307,OBC,0,1,1.0,0,0,0.0,1,2,1.0,,,
7,11308,OBC,0,1,1.0,0,0,0.0,1,1,1.0,,,
8,11309,OBC,0,2,1.0,0,0,0.0,1,1,1.0,,,
9,11310,OBC,0,2,1.0,1,1,1.0,1,1,2.0,,,
10,11311,OBC,0,2,1.0,0,0,0.0,1,1,1.0,,,
11,11312,OBC,2,2,1.0,0,1,1.0,1,1,2.0,,,
12,11313,OBC,2,2,1.0,1,1,1.0,1,1,2.0,,,
13,11314,OBC,2,2,1.0,1,1,1.0,1,1,2.0,,,
14,11315,OBC,2,2,1.0,2,2,2.0,1,1,2.0,,,
15,11316,OBC,2,0,0.0,1,2,2.0,0,1,2.0,,,
16,11317,OBC,2,0,0.0,1,2,1.0,0,0,2.0,,,
17,11318,OBC,2,0,0.0,2,2,2.0,0,0,2.0,,,
18,11319,OBC,2,0,0.0,1,1,1.0,0,0,0.0,,,
19,11320,OBC,1,0,0.0,2,1,1.0,0,0,0.0,,,
20,11321,OBC,1,0,0.0,1,1,1.0,0,0,0.0,,,
21,11322,OBC,1,0,0.0,2,2,2.0,0,0,0.0,,,
22,11323,OBC,1,0,0.0,2,2,2.0,0,0,0.0,,,
23,11324,OBC,1,0,0.0,2,2,2.0,0,0,0.0,,,
0,11301,Overall,2,1,,1,0,,1,2,,1.0,0.0,2.0
1,11302,Overall,2,1,,1,0,,1,2,,1.0,0.0,2.0
2,11303,Overall,2,1,,1,0,,1,2,,1.0,0.0,2.0
3,11304,Overall,2,1,,1,0,,1,2,,1.0,0.0,2.0
4,11305,Overall,2,1,,1,0,,1,2,,1.0,0.0,2.0
5,11306,Overall,2,1,,2,0,,2,2,,1.0,2.0,1.0
6,11307,Overall,2,1,,1,0,,2,2,,1.0,2.0,1.0
7,11308,Overall,2,1,,1,0,,2,1,,1.0,0.0,1.0
8,11309,Overall,1,2,,2,0,,2,1,,2.0,2.0,1.0
9,11310,Overall,1,2,,1,2,,2,1,,2.0,0.0,1.0
10,11311,Overall,1,2,,1,1,,2,1,,2.0,0.0,1.0
