DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
11401,ST,0,0,0,0,1,4,0,0,0
11402,ST,2,2,2,2,3,2,2,2,2
11403,ST,0,0,0,0,1,4,0,0,0
11404,ST,0,0,0,0,1,4,0,0,0
11405,ST,0,0,0,0,1,4,0,0,0
11406,ST,0,0,0,4,0,1,0,0,0
11407,ST,0,0,0,4,0,1,0,0,0
11408,ST,4,4,1,0,1,4,0,3,4
11409,ST,4,4,1,0,1,4,0,3,4
11410,ST,4,4,1,0,1,4,0,3,4
11411,ST,4,4,1,0,0,1,0,3,4
11412,ST,4,4,1,0,1,4,3,3,4
11413,ST,4,4,1,4,0,1,3,3,4
11414,ST,4,4,1,0,0,1,3,3,3
11415,ST,4,3,1,4,0,1,3,3,3
11416,ST,1,3,1,4,0,1,3,3,3
11417,ST,1,3,1,0,0,1,3,3,3
11418,ST,1,3,1,0,0,1,3,4,3
11419,ST,1,3,3,4,0,1,3,4,3
11420,ST,1,3,3,1,2,0,1,4,3
11421,ST,1,3,3,4,0,1,1,4,3
11422,ST,1,3,3,1,2,0,1,4,3
11423,ST,1,3,3,1,0,0,1,4,3
11424,ST,1,1,3,1,2,0,1,1,1
11425,ST,1,1,3,1,2,0,1,1,1
11426,ST,1,1,3,1,2,0,1,1,1
11427,ST,1,1,3,1,2,0,1,1,1
11428,ST,3,1,4,1,0,0,1,1,1
11429,ST,3,1,4,1,2,0,4,1,1
11430,ST,3,1,4,3,4,3,4,1,1
11431,ST,3,1,4,1,2,0,4,1,1
11432,ST,3,1,4,1,2,0,4,1,1
11433,ST,3,1,4,3,4,3,4,1,1
11434,ST,3,1,4,3,4,3,4,1,1
11435,ST,3,1,4,3,4,3,4,1,1
