DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
13301,General,2,2,2,1,0,2,2,0,2
13302,General,2,2,2,1,0,2,2,0,2
13303,General,2,2,2,1,0,2,2,0,2
13304,General,2,2,2,1,2,0,2,0,2
13305,General,2,2,2,1,0,2,2,0,2
13306,General,0,0,0,0,2,0,0,0,0
13307,General,0,0,0,2,0,1,0,0,0
13308,General,0,0,0,2,1,1,0,2,0
13309,General,0,0,0,2,0,1,0,2,0
13310,General,0,0,0,2,1,1,0,2,0
13311,General,0,0,0,2,1,1,0,2,0
13312,General,0,0,0,0,1,0,0,2,0
13313,General,1,1,1,0,1,0,1,1,1
13301,OBC,2,0,2,1,0,1,2,2,2
13302,OBC,2,0,2,1,0,1,0,2,0
13303,OBC,2,0,2,1,0,1,2,2,2
13304,OBC,2,0,2,0,0,0,2,2,2
13305,OBC,1,0,1,1,0,1,0,1,0
13306,OBC,1,0,1,0,0,0,0,1,0
13307,OBC,0,0,0,0,2,0,0,1,0
13308,OBC,0,0,0,0,0,1,1,0,1
13309,OBC,1,2,1,0,2,0,1,0,1
13310,OBC,0,1,0,0,1,0,0,0,1
13311,OBC,0,1,0,2,2,2,1,0,1
13312,OBC,0,1,0,0,2,0,1,0,1
13313,OBC,0,1,0,2,2,2,1,0,1
13301,Overall,1,1,1,1,2,2,1,1,1
13302,Overall,1,1,1,1,2,2,1,1,1
13303,Overall,1,1,1,1,2,2,1,1,1
13304,Overall,1,1,1,0,0,0,1,1,1
13305,Overall,1,1,1,2,0,0,1,1,1
13306,Overall,0,0,0,0,0,0,2,2,2
13307,Overall,0,0,0,2,0,0,0,0,0
13308,Overall,0,0,0,2,0,0,0,0,0
13309,Overall,0,0,0,2,0,0,0,0,0
13310,Overall,2,2,2,2,1,0,0,0,0
13311,Overall,2,2,2,2,1,1,0,0,0
13312,Overall,2,2,2,0,1,1,0,0,0
13313,Overall,2,2,2,2,1,1,0,0,0
13301,SC,0,0,0,1,0,0,1,1,1
13302,SC,0,0,0,1,0,0,1,1,1
13303,SC,0,0,0,1,0,0,1,1,1
13304,SC,0,0,0,1,0,0,1,1,1
13305,SC,0,0,0,1,0,0,0,0,0
13306,SC,0,0,0,1,0,0,0,0,0
13307,SC,1,1,1,1,0,0,2,2,2
13308,SC,1,1,1,0,0,0,2,2,2
13309,SC,1,1,1,0,1,1,2,2,2
13310,SC,1,1,1,0,1,1,2,2,2
13311,SC,1,1,1,0,1,1,2,2,2
13312,SC,2,2,2,2,2,2,0,0,0
13313,SC,2,2,2,0,1,1,2,2,2
13301,ST,0,0,2,1,0,2,0,1,0
13302,ST,1,0,0,0,1,0,2,0,2
13303,ST,1,0,0,0,0,0,2,1,2
13304,ST,1,0,0,1,2,2,2,1,2
13305,ST,1,0,0,1,0,2,2,1,2
13306,ST,1,2,0,1,1,0,2,2,2
13307,ST,1,1,1,0,2,0,2,1,1
13308,ST,1,1,1,0,2,0,1,2,1
13309,ST,2,1,1,2,2,1,1,2,1
13310,ST,2,1,1,2,1,1,1,0,1
13311,ST,0,1,1,2,0,1,0,2,0
13312,ST,2,1,1,0,2,0,1,2,1
13313,ST,2,1,1,2,0,1,1,2,1
