DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
10201,ST,0,1,0,4,3,3,3,0,3
10202,ST,3,3,3,0,4,0,4,2,4
10203,ST,3,3,3,0,4,0,4,2,4
10204,ST,0,1,0,0,0,0,3,0,3
10205,ST,0,1,0,0,0,0,3,0,3
10206,ST,0,1,0,4,3,3,2,0,0
10207,ST,0,1,0,0,0,0,2,0,0
10208,ST,0,1,0,4,3,3,3,0,3
10209,ST,0,1,0,0,3,3,3,0,3
10210,ST,0,1,0,3,3,3,3,0,1
10211,ST,0,1,0,4,3,3,2,2,0
10212,ST,0,0,0,3,0,4,3,0,1
10213,ST,0,0,0,3,0,4,1,0,1
10214,ST,0,0,0,3,0,4,1,1,1
10215,ST,0,0,0,3,0,4,1,1,1
10216,ST,1,0,1,3,0,4,2,1,1
10217,ST,0,0,0,3,0,4,1,1,1
10218,ST,0,0,0,3,0,4,1,1,1
10219,ST,2,0,1,3,1,2,1,1,1
10220,ST,2,0,1,2,0,1,1,1,1
10221,ST,2,0,1,3,0,4,1,1,1
10222,ST,1,0,1,1,1,2,1,1,1
10223,ST,2,0,1,1,1,2,1,1,1
10224,ST,2,2,2,1,1,2,0,1,1
10225,ST,2,2,2,1,1,2,1,1,1
10226,ST,2,2,2,2,2,1,0,3,2
10227,ST,2,2,2,1,2,1,0,1,2
10228,ST,2,4,4,1,1,2,0,3,2
10229,ST,4,2,2,1,1,2,0,3,2
10230,ST,1,4,4,2,2,1,0,3,2
10231,ST,1,4,4,2,2,1,0,4,0
10232,ST,4,2,2,1,1,2,0,3,2
10233,ST,4,2,2,1,2,1,0,3,2
10234,ST,4,2,2,1,1,2,0,3,2
10235,ST,1,4,4,2,2,1,0,3,2
