DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
10201,General,1,4,4,4,1,1,4,3,4
10202,General,2,2,2,0,4,4,2,2,2
10203,General,4,1,0,0,0,2,3,1,1
10204,General,1,4,4,1,0,2,4,3,4
10205,General,1,4,4,0,0,2,3,1,1
10206,General,1,4,4,1,0,2,4,3,4
10207,General,1,4,4,4,1,1,4,3,4
10208,General,4,1,0,0,0,2,3,1,1
10209,General,4,1,0,1,0,2,3,1,1
10210,General,4,1,0,1,0,2,3,1,1
10211,General,4,1,0,1,0,2,3,1,1
10212,General,4,1,0,4,1,1,1,1,0
10213,General,1,3,0,4,1,1,1,1,1
10214,General,4,1,0,0,0,2,3,1,1
10215,General,1,3,0,1,0,0,1,1,0
10216,General,4,1,0,1,0,0,1,1,1
10217,General,1,3,0,0,0,2,1,0,0
10218,General,0,3,1,1,1,0,1,0,0
10219,General,0,3,0,4,1,1,1,0,0
10220,General,0,3,1,0,2,0,1,1,0
10221,General,0,3,1,4,1,1,1,0,0
10222,General,0,3,1,3,2,0,1,0,0
10223,General,0,3,1,3,2,0,1,0,0
10224,General,0,0,1,1,2,0,1,0,0
10225,General,0,0,1,1,2,0,1,0,0
10226,General,0,0,1,3,2,0,0,0,0
10227,General,0,0,1,3,2,0,0,0,0
10228,General,0,0,1,1,2,0,0,0,3
10229,General,3,0,1,2,3,3,0,4,3
10230,General,3,0,1,3,2,0,0,4,3
10231,General,0,0,1,3,2,0,0,0,0
10232,General,3,0,3,2,3,3,0,4,3
10233,General,3,0,3,2,3,3,0,4,3
10234,General,3,0,3,2,3,3,0,4,3
10235,General,3,0,3,2,3,3,0,4,3
