,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,12001,General,2,3,1.0,1,0,4.0,1,1,1.0,,,
1,12002,General,0,3,1.0,1,0,4.0,0,3,1.0,,,
2,12003,General,2,4,1.0,4,1,1.0,1,3,1.0,,,
3,12004,General,2,4,1.0,1,0,4.0,0,0,0.0,,,
4,12005,General,1,0,2.0,1,0,4.0,2,0,0.0,,,
5,12006,General,2,4,1.0,1,0,4.0,0,0,2.0,,,
6,12007,General,1,0,2.0,4,1,1.0,0,1,2.0,,,
7,12008,General,1,0,2.0,1,0,0.0,2,0,0.0,,,
8,12009,General,0,0,2.0,0,0,0.0,0,0,0.0,,,
9,12010,General,3,1,3.0,3,2,1.0,3,2,3.0,,,
10,12011,General,1,1,4.0,0,0,0.0,2,0,0.0,,,
11,12012,General,4,2,0.0,0,2,0.0,0,1,2.0,,,
12,12013,General,1,1,4.0,3,4,3.0,0,0,0.0,,,
13,12014,General,1,1,4.0,0,0,0.0,0,0,0.0,,,
14,12015,General,1,1,4.0,0,0,0.0,2,0,0.0,,,
15,12016,General,0,2,0.0,2,3,2.0,4,4,4.0,,,
0,12001,OBC,2,2,0.0,3,3,4.0,0,4,2.0,,,
1,12002,OBC,2,2,0.0,3,0,4.0,1,2,3.0,,,
2,12003,OBC,2,2,0.0,2,4,3.0,0,4,2.0,,,
3,12004,OBC,2,4,2.0,3,0,2.0,0,4,2.0,,,
4,12005,OBC,0,4,2.0,3,2,0.0,0,4,2.0,,,
5,12006,OBC,2,2,0.0,0,2,0.0,1,2,3.0,,,
6,12007,OBC,0,4,2.0,4,0,1.0,0,0,2.0,,,
7,12008,OBC,1,1,1.0,0,2,0.0,2,0,4.0,,,
8,12009,OBC,2,1,1.0,1,0,1.0,2,0,4.0,,,
9,12010,OBC,1,1,1.0,0,1,0.0,1,1,0.0,,,
10,12011,OBC,4,1,1.0,0,2,0.0,2,0,4.0,,,
11,12012,OBC,4,1,1.0,1,0,2.0,0,0,4.0,,,
12,12013,OBC,3,3,3.0,0,2,0.0,3,1,0.0,,,
13,12014,OBC,4,1,1.0,0,2,0.0,2,0,4.0,,,
14,12015,OBC,0,0,4.0,1,0,1.0,4,3,1.0,,,
15,12016,OBC,0,0,4.0,0,2,0.0,2,3,1.0,,,
0,12001,Overall,1,2,,1,3,,4,0,,2.0,1.0,0.0
1,12002,Overall,0,4,,1,0,,0,0,,2.0,1.0,0.0
2,12003,Overall,4,2,,2,0,,0,0,,3.0,2.0,0.0
3,12004,Overall,1,4,,1,3,,0,0,,2.0,1.0,0.0
4,12005,Overall,4,2,,1,3,,0,0,,3.0,1.0,0.0
5,12006,Overall,0,1,,1,3,,2,1,,0.0,1.0,2.0
6,12007,Overall,1,0,,2,0,,3,2,,1.0,2.0,1.0
7,12008,Overall,0,1,,0,4,,3,2,,0.0,3.0,1.0
8,12009,Overall,1,0,,2,0,,3,2,,1.0,2.0,1.0
9,12010,Overall,0,1,,0,0,,0,1,,0.0,3.0,1.0
10,12011,Overall,2,0,,0,2,,2,1,,1.0,4.0,2.0
11,12012,Overall,0,1,,4,1,,1,2,,0.0,0.0,1.0
12,12013,Overall,2,0,,4,1,,1,4,,1.0,0.0,4.0
13,12014,Overall,3,0,,4,1,,1,4,,4.0,0.0,4.0
14,12015,Overall,2,3,,3,1,,1,3,,1.0,0.0,3.0
15,12016,Overall,2,3,,3,1,,1,3,,0.0,0.0,3.0
0,12001,SC,1,1,3.0,4,2,4.0,2,4,3.0,,,
1,12002,SC,4,4,3.0,3,2,1.0,2,4,3.0,,,
2,12003,SC,4,2,0.0,3,3,0.0,2,4,3.0,,,
3,12004,SC,0,1,3.0,3,2,1.0,2,4,3.0,,,
4,12005,SC,1,2,0.0,3,2,1.0,3,0,0.0,,,
5,12006,SC,0,4,4.0,0,0,0.0,3,0,0.0,,,
6,12007,SC,1,2,0.0,0,0,0.0,0,0,0.0,,,
7,12008,SC,3,0,1.0,1,4,3.0,1,1,1.0,,,
8,12009,SC,1,0,0.0,1,4,3.0,1,1,1.0,,,
9,12010,SC,3,0,1.0,1,4,3.0,1,1,1.0,,,
10,12011,SC,3,0,1.0,1,4,3.0,1,1,1.0,,,
11,12012,SC,3,0,1.0,2,1,2.0,1,2,1.0,,,
12,12013,SC,0,0,2.0,2,1,2.0,1,2,1.0,,,
13,12014,SC,3,3,1.0,2,1,2.0,0,3,2.0,,,
14,12015,SC,0,0,2.0,2,1,2.0,1,2,1.0,,,
