DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
11801,ST,3,1,0,1,3,1,4,3,0
11802,ST,3,1,0,1,3,1,4,0,3
11803,ST,3,1,0,1,3,1,3,0,3
11804,ST,3,1,0,4,0,4,4,3,0
11805,ST,3,1,0,1,3,1,3,0,3
11806,ST,3,1,0,1,3,1,4,0,3
11807,ST,3,1,0,1,3,1,3,0,3
11808,ST,3,1,0,4,0,4,3,0,3
11809,ST,3,1,0,1,3,1,3,0,3
11810,ST,3,3,0,1,1,1,3,0,0
11811,ST,0,3,0,4,0,4,1,0,0
11812,ST,0,3,0,1,1,1,3,0,3
11813,ST,0,3,0,1,1,1,3,0,0
11814,ST,0,3,0,1,1,1,1,0,0
11815,ST,0,3,0,1,1,1,3,0,3
11816,ST,0,3,1,1,1,1,1,0,0
11817,ST,0,4,1,1,1,1,1,0,0
11818,ST,0,4,1,3,1,2,1,0,0
11819,ST,0,3,1,3,1,1,1,0,0
11820,ST,0,3,1,3,1,2,3,4,2
11821,ST,0,3,1,3,1,2,3,0,2
11822,ST,0,4,1,3,1,2,1,4,0
11823,ST,0,4,1,3,1,2,1,4,2
11824,ST,0,4,1,3,1,2,1,4,2
11825,ST,4,0,4,3,1,2,1,4,2
11826,ST,4,0,4,3,1,2,1,4,2
11827,ST,4,0,4,3,1,2,1,4,2
11828,ST,4,0,4,3,1,2,2,1,2
11829,ST,4,0,4,3,1,2,1,4,2
11830,ST,4,0,4,2,1,0,2,1,2
11831,ST,4,0,4,3,1,2,2,1,2
11832,ST,4,0,4,2,2,0,0,2,4
11833,ST,4,0,4,2,0,0,2,1,2
11834,ST,1,0,4,2,2,0,0,2,4
11835,ST,1,0,4,0,1,2,2,1,2
11836,ST,1,0,3,0,2,3,2,2,4
11837,ST,1,0,3,0,4,3,0,1,4
11838,ST,1,0,3,2,2,0,0,2,1
11839,ST,1,0,3,0,2,3,0,2,4
11840,ST,1,0,3,0,2,3,0,2,4
11841,ST,1,2,2,0,4,3,0,2,4
11842,ST,1,2,2,0,4,3,2,1,4
11843,ST,2,2,2,0,4,3,0,2,4
11844,ST,2,2,2,0,2,3,2,2,4
11845,ST,2,2,2,0,2,0,0,2,1
11846,ST,2,2,2,0,2,0,0,2,1
11847,ST,2,2,2,0,4,3,0,2,1
11848,ST,2,2,2,0,4,3,0,2,1
11849,ST,2,2,2,0,4,3,0,2,1
11850,ST,2,2,2,0,4,3,0,2,1
11851,ST,2,2,2,0,4,3,0,2,1
11852,ST,2,2,2,0,2,0,0,2,1
