,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
0,10001,General,0,0,0.0,0,1,1.0,4,0,0.0
1,10002,General,0,0,0.0,1,4,0.0,4,0,0.0
2,10003,General,0,0,0.0,0,1,1.0,2,0,0.0
3,10004,General,0,0,0.0,0,1,1.0,2,0,0.0
4,10005,General,3,4,4.0,2,1,1.0,0,2,2.0
5,10006,General,3,4,4.0,2,2,2.0,0,2,2.0
6,10007,General,2,2,2.0,0,0,0.0,0,2,2.0
7,10008,General,2,2,2.0,1,0,0.0,0,2,2.0
8,10009,General,2,3,3.0,2,2,2.0,1,3,3.0
9,10010,General,4,3,3.0,3,3,3.0,1,3,3.0
10,10011,General,4,1,1.0,4,2,2.0,1,4,4.0
11,10012,General,1,1,1.0,3,3,3.0,3,1,1.0
12,10013,General,1,1,1.0,4,0,4.0,3,1,1.0
0,10001,OBC,0,2,2.0,3,0,0.0,2,0,1.0
1,10002,OBC,0,2,2.0,4,3,4.0,2,0,1.0
2,10003,OBC,0,2,2.0,3,3,0.0,2,0,1.0
3,10004,OBC,2,2,1.0,3,0,0.0,2,0,1.0
4,10005,OBC,2,0,1.0,1,4,1.0,1,2,2.0
5,10006,OBC,2,0,1.0,1,4,1.0,0,4,4.0
6,10007,OBC,4,0,4.0,1,4,1.0,1,2,2.0
7,10008,OBC,1,4,0.0,0,1,2.0,0,3,3.0
8,10009,OBC,1,4,0.0,1,4,1.0,0,3,3.0
9,10010,OBC,1,3,0.0,0,1,2.0,4,1,0.0
10,10011,OBC,1,3,0.0,2,2,3.0,4,1,0.0
11,10012,OBC,3,1,3.0,0,1,2.0,3,1,0.0
12,10013,OBC,3,1,3.0,0,1,2.0,3,1,0.0
0,10001,Overall,0,0,,1,0,,3,1,
1,10002,Overall,0,0,,3,2,,3,1,
2,10003,Overall,0,0,,1,0,,1,1,
3,10004,Overall,0,0,,1,0,,1,0,
4,10005,Overall,3,4,,2,3,,1,0,
5,10006,Overall,3,4,,2,3,,4,0,
6,10007,Overall,2,2,,2,3,,2,4,
7,10008,Overall,2,2,,0,1,,2,3,
8,10009,Overall,2,3,,2,3,,2,3,
9,10010,Overall,4,3,,0,1,,0,2,
10,10011,Overall,4,1,,0,4,,0,2,
11,10012,Overall,1,1,,0,4,,0,2,
12,10013,Overall,1,1,,4,1,,0,2,
0,10001,SC,2,0,0.0,2,0,0.0,1,4,0.0
1,10002,SC,2,0,0.0,4,3,0.0,1,4,0.0
2,10003,SC,2,0,0.0,2,3,0.0,4,3,0.0
3,10004,SC,0,0,0.0,2,0,0.0,4,3,0.0
4,10005,SC,0,4,4.0,2,0,0.0,3,3,3.0
5,10006,SC,0,4,4.0,0,4,3.0,3,1,3.0
6,10007,SC,0,2,2.0,0,0,1.0,2,0,4.0
7,10008,SC,4,2,2.0,0,1,1.0,2,1,1.0
8,10009,SC,4,3,3.0,0,4,3.0,2,0,1.0
9,10010,SC,3,3,3.0,1,1,4.0,0,0,1.0
10,10011,SC,3,1,1.0,1,2,4.0,0,2,2.0
11,10012,SC,1,1,1.0,3,2,2.0,0,2,2.0
12,10013,SC,1,1,1.0,0,1,1.0,0,2,2.0
0,10001,ST,4,0,4.0,0,4,3.0,4,3,3.0
1,10002,ST,4,0,4.0,3,3,1.0,4,3,3.0
2,10003,ST,3,0,3.0,3,4,3.0,0,0,4.0
3,10004,ST,3,0,3.0,3,4,3.0,0,0,4.0
4,10005,ST,1,2,1.0,0,1,2.0,3,4,2.0
5,10006,ST,1,2,1.0,0,1,2.0,0,0,2.0
6,10007,ST,1,2,1.0,2,2,1.0,3,4,2.0
7,10008,ST,2,3,2.0,4,1,2.0,2,1,1.0
8,10009,ST,2,3,2.0,0,2,4.0,2,1,1.0
9,10010,ST,0,1,0.0,1,2,4.0,1,2,0.0
10,10011,ST,0,1,0.0,1,0,0.0,1,2,0.0
11,10012,ST,0,4,0.0,2,0,0.0,1,2,0.0
12,10013,ST,0,4,0.0,1,0,0.0,1,2,0.0
