DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
10601,General,2,2,2,1,1,1,2,2,2
10602,General,1,1,1,2,2,2,1,1,1
10603,General,0,0,0,0,0,0,0,0,0
10601,OBC,2,2,2,2,2,2,2,2,2
10602,OBC,1,1,1,1,1,1,1,1,1
10603,OBC,0,0,0,0,0,0,0,0,0
10601,Overall,2,2,2,2,2,2,2,2,2
10602,Overall,1,1,1,1,1,1,1,1,1
10603,Overall,0,0,0,0,0,0,0,0,0
10601,SC,2,2,2,2,2,2,1,1,1
10602,SC,1,1,1,1,1,1,2,2,2
10603,SC,0,0,0,0,0,0,0,0,0
10601,ST,2,2,2,1,1,1,2,2,2
10602,ST,1,1,1,2,2,2,1,1,1
10603,ST,0,0,0,0,0,0,0,0,0
